Primary Cell Line Name,Compound,ActArea
FU-OV-1,AEW541,2.1301
G-361,AEW541,1.7872
G-401,AEW541,2.2898
G-402,AEW541,0.4365
GAMG,AEW541,0.4895
GB-1,AEW541,0.8205
GCIY,AEW541,0.7879
GCT,AEW541,1.3274
GI-1,AEW541,0.5457
GLC-82,AEW541,1.0288
GMS-10,AEW541,0.5312
GRANTA-519,AEW541,1.0074
H4,AEW541,0.4519
HARA,AEW541,0.4855
HCC1187,AEW541,0.2086
HCC1395,AEW541,0.7086
HCC-15,AEW541,1.1557
HCC1569,AEW541,0.4023
HCC1806,AEW541,1.0001
HCC1954,AEW541,0.8125
HCC2935,AEW541,0.5445
HCC4006,AEW541,0.8118
HCC-44,AEW541,0.9276
HCC-56,AEW541,0.6342
HCC70,AEW541,0.6154
HCC-78,AEW541,0.3367
HCC827,AEW541,0.8091
HCT 116,AEW541,0.5664
HCT-15,AEW541,1.1814
HD-MY-Z,AEW541,1.389
HDQ-P1,AEW541,1.0021
HEC-151,AEW541,0.2402
HEC-1-A,AEW541,0.8549
HEC-1-B,AEW541,1.3248
HEC-251,AEW541,0.8731
HEC-265,AEW541,0.1955
HEC-59,AEW541,0.1996
HEC-6,AEW541,0.8225
HEL 92.1.7,AEW541,0.7872
Hep 3B2.1-7,AEW541,1.5664
Hep G2,AEW541,1.529
Hey-A8,AEW541,0.5856
HGC-27,AEW541,1.0097
HH,AEW541,0.975
HLE,AEW541,0.454
HLF,AEW541,0.8423
HMC-1-8,AEW541,1.0301
HMCB,AEW541,1.1052
HOS,AEW541,0.5479
HPAC,AEW541,1.5511
HPAF-II,AEW541,1.3463
Hs 229.T,AEW541,0.1625
Hs 294T,AEW541,0.969
Hs 578T,AEW541,0.2538
Hs 683,AEW541,0.7117
Hs 695T,AEW541,0.9336
Hs 729,AEW541,1.4926
Hs 739.T,AEW541,0.6611
Hs 746T,AEW541,0.845
Hs 766T,AEW541,0.3245
Hs 840.T,AEW541,0.5775
Hs 852.T,AEW541,1.595
Hs 895.T,AEW541,0.6128
Hs 936.T,AEW541,0.2207
Hs 939.T,AEW541,0.07816
Hs 944.T,AEW541,0.919
HSC-2,AEW541,0.1172
HT,AEW541,0.472
HT-1080,AEW541,0.6785
HT-1197,AEW541,1.5118
HT-1376,AEW541,0.9099
HT-144,AEW541,0.8903
HT-29,AEW541,1.8932
HuCCT1,AEW541,0.3628
huH-1,AEW541,1.4368
HUP-T3,AEW541,0.5173
HUP-T4,AEW541,2.0752
HuT 78,AEW541,1.68
IA-LM,AEW541,1.0362
IGR-37,AEW541,1.4834
IGR-39,AEW541,0.7806
IGROV1,AEW541,0.3161
IM95,AEW541,1.8968
IMR-32,AEW541,1.434
IPC-298,AEW541,0.9805
Ishikawa (Heraklio) 02 ER-,AEW541,0.6813
IST-MES1,AEW541,1.0009
IST-MES2,AEW541,0.8105
J82,AEW541,0.5417
JHH-2,AEW541,0.6633
JHH-4,AEW541,0.6781
JHH-5,AEW541,1.2766
JHH-6,AEW541,0.05775
JHH-7,AEW541,1.6698
JHOS-2,AEW541,1.2322
JHOS-4,AEW541,1.549
JHUEM-2,AEW541,0.4333
JM1,AEW541,0.2846
JMSU-1,AEW541,1.4305
JURKAT,AEW541,1.2993
JVM-3,AEW541,1.0059
K029AX,AEW541,1.4618
KALS-1,AEW541,0.4127
KARPAS-299,AEW541,0.2968
KARPAS-422,AEW541,1.432
KARPAS-620,AEW541,2.9271
KASUMI-2,AEW541,1.5103
KCI-MOH1,AEW541,1.5452
KCL-22,AEW541,0.8817
KE-39,AEW541,1.5188
KE-97,AEW541,0.6478
KELLY,AEW541,0.7389
KG-1,AEW541,0.7337
KHM-1B,AEW541,3.717
KLE,AEW541,0.5976
KMBC-2,AEW541,0.3949
KMM-1,AEW541,1.8889
KMRC-1,AEW541,1.1574
KMRC-2,AEW541,0.8069
KMS-11,AEW541,3.2272
KMS-12-BM,AEW541,2.4135
KMS-26,AEW541,2.0005
KMS-34,AEW541,2.91
KNS-42,AEW541,1.268
KNS-60,AEW541,0.8646
KNS-62,AEW541,0.5156
KNS-81,AEW541,1.2942
KO52,AEW541,0.8602
KP-1N,AEW541,0.6898
KP-1NL,AEW541,0.3122
KP-2,AEW541,1.5709
KP-3,AEW541,0.4973
KP4,AEW541,1.0599
KP-N-SI9s,AEW541,2.2083
KU812,AEW541,0.3537
KURAMOCHI,AEW541,1.4503
KYM-1,AEW541,1.5614
KYSE-140,AEW541,1.627
KYSE-150,AEW541,0.4188
KYSE-180,AEW541,1.2614
KYSE-30,AEW541,0.9594
KYSE-410,AEW541,1.0965
KYSE-450,AEW541,0.5514
KYSE-510,AEW541,1.3086
KYSE-520,AEW541,0.8652
KYSE-70,AEW541,2.1382
L3.3,AEW541,1.0032
L-363,AEW541,2.9187
L-428,AEW541,0.5807
LC-1/sq-SF,AEW541,0.6989
LCLC-103H,AEW541,0.6313
LN-18,AEW541,1.4906
LN-229,AEW541,1.2309
LOU-NH91,AEW541,0.3336
LOX IMVI,AEW541,0.4342
LP-1,AEW541,2.8798
LS123,AEW541,0.8263
LS411N,AEW541,1.3972
LS513,AEW541,2.5798
LU99,AEW541,1.5767
LUDLU-1,AEW541,1.9451
M059J,AEW541,0.5874
Malme-3M,AEW541,1.5363
MB 157,AEW541,2.379
MC116,AEW541,0.2977
MCAS,AEW541,0.913
MCF7,AEW541,1.7882
MDA-MB-157,AEW541,0.7972
MDA-MB-175-VII,AEW541,0.8511
MDA-MB-415,AEW541,0.5793
MDA-MB-435S,AEW541,1.3564
MDA-MB-436,AEW541,1.1129
MDA-MB-453,AEW541,1.1017
MDA-MB-468,AEW541,1.9311
MEC-1,AEW541,1.2566
MEG-01,AEW541,0.5139
MEL-HO,AEW541,1.3099
MES-SA,AEW541,0.2815
MeWo,AEW541,0.3319
MFE-280,AEW541,0.5249
MFE-296,AEW541,0.9253
MFE-319,AEW541,0.7763
MG-63,AEW541,1.392
MHH-ES-1,AEW541,2.06
MIA PaCa-2,AEW541,1.4882
Mino,AEW541,0.5617
MJ,AEW541,0.7745
MKN-45,AEW541,0.5995
MKN7,AEW541,0.3176
MKN74,AEW541,1.2515
MOG-G-CCM,AEW541,0.2712
MOLP-8,AEW541,2.4006
MOLT-16,AEW541,1.5338
MONO-MAC-1,AEW541,2.5881
MOR/CPR,AEW541,0.4603
MPP 89,AEW541,1.0837
MSTO-211H,AEW541,0.5041
NCI-H1048,AEW541,0.798
NCI-H1092,AEW541,0.5824
NCI-H1155,AEW541,0.7336
NCI-H1184,AEW541,0.6452
NCI-H1299,AEW541,1.2383
NCI-H1339,AEW541,0.645
NCI-H1341,AEW541,1.8219
NCI-H1355,AEW541,0.9139
NCI-H1373,AEW541,0.5229
NCI-H1563,AEW541,1.0647
NCI-H1568,AEW541,1.3221
NCI-H1573,AEW541,1.463
NCI-H1581,AEW541,0.3412
NCI-H1648,AEW541,1.078
NCI-H1650,AEW541,0.4436
NCI-H1651,AEW541,0.8597
NCI-H1666,AEW541,1.0145
NCI-H1693,AEW541,1.1923
NCI-H1694,AEW541,0.8491
NCI-H1703,AEW541,0.7496
NCI-H1792,AEW541,1.1488
NCI-H1793,AEW541,0.4367
NCI-H1869,AEW541,0.747
NCI-H1915,AEW541,0.4139
NCI-H1944,AEW541,0.2859
NCI-H1975,AEW541,1.0222
NCI-H2009,AEW541,0.6894
NCI-H2023,AEW541,1.4571
NCI-H2030,AEW541,0.9753
NCI-H2052,AEW541,1.5696
NCI-H2085,AEW541,0.4646
NCI-H2087,AEW541,0.7475
NCI-H211,AEW541,1.4213
NCI-H2122,AEW541,1.71
NCI-H2170,AEW541,0.9193
NCI-H2172,AEW541,0.4366
NCI-H2228,AEW541,0.7983
NCI-H226,AEW541,0.6322
NCI-H2286,AEW541,0.8707
NCI-H23,AEW541,1.3268
NCI-H2444,AEW541,0.5609
NCI-H2452,AEW541,0.7924
NCI-H28,AEW541,1.0399
NCI-H322,AEW541,1.1076
NCI-H3255,AEW541,1.4275
NCI-H358,AEW541,1.0482
NCI-H441,AEW541,1.1125
NCI-H460,AEW541,1.0809
NCI-H520,AEW541,0.535
NCI-H522,AEW541,0.6383
NCI-H647,AEW541,0.3716
NCI-H650,AEW541,0.7852
NCI-H661,AEW541,1.0875
NCI-H727,AEW541,1.3035
NCI-H747,AEW541,1.5524
NCI-H810,AEW541,1.3572
NCI-N87,AEW541,0.8738
NCO2,AEW541,1.2927
NIH:OVCAR-3,AEW541,0.9727
NUGC-3,AEW541,1.0673
NUGC-4,AEW541,1.0295
OC 314,AEW541,0.3713
OC 315,AEW541,0.3778
OC 316,AEW541,0.394
OCI-AML2,AEW541,1.1281
OCI-AML5,AEW541,2.3013
OCI-LY10,AEW541,0.00972
OCUM-1,AEW541,0.5085
OE21,AEW541,1.3307
OE33,AEW541,0.887
ONCO-DG-1,AEW541,0.6896
ONS-76,AEW541,0.2968
OPM-2,AEW541,0.9333
OV-90,AEW541,0.8462
OVCAR-4,AEW541,0.3216
OVCAR-8,AEW541,0.6409
OVMANA,AEW541,1.0259
OVSAHO,AEW541,0.4298
OVTOKO,AEW541,0.508
P12-ICHIKAWA,AEW541,1.1795
P31/FUJ,AEW541,0.7637
P3HR-1,AEW541,0.6726
Panc 02.03,AEW541,1.5713
Panc 03.27,AEW541,0.6478
Panc 04.03,AEW541,0.7045
Panc 10.05,AEW541,1.0935
PA-TU-8902,AEW541,1.3212
PC-14,AEW541,1.5768
PC-3,AEW541,0.4745
Pfeiffer,AEW541,0.7562
PK-1,AEW541,0.6571
PK-45H,AEW541,1.175
PK-59,AEW541,0.8059
PL45,AEW541,0.7401
PLC/PRF/5,AEW541,0.6843
PSN1,AEW541,0.5187
QGP-1,AEW541,1.5339
Raji,AEW541,0.4082
RD,AEW541,1.6448
Reh,AEW541,0.8788
RERF-GC-1B,AEW541,1.5338
RERF-LC-AI,AEW541,0.675
RERF-LC-MS,AEW541,0.4693
RKN,AEW541,0.3677
RKO,AEW541,0.8444
RL95-2,AEW541,1.2066
RPMI-7951,AEW541,0.9825
RPMI-8402,AEW541,1.8775
RT-112,AEW541,2.1877
RT4,AEW541,1.0211
RVH-421,AEW541,0.329
Saos-2,AEW541,1.8071
SBC-5,AEW541,0.6521
SCaBER,AEW541,1.0551
SCC-9,AEW541,1.2564
SF126,AEW541,0.9526
SF-295,AEW541,0.9258
SF8657,AEW541,0.6293
SH-10-TC,AEW541,0.4969
SHP-77,AEW541,0.1697
SIG-M5,AEW541,2.8203
SIMA,AEW541,2.8915
SJRH30,AEW541,1.8406
SJSA-1,AEW541,1.5288
SK-BR-3,AEW541,0.7471
SK-CO-1,AEW541,1.1108
SK-ES-1,AEW541,1.9883
SK-HEP-1,AEW541,0.8338
SK-LMS-1,AEW541,1.8429
SK-LU-1,AEW541,1.1
SK-MEL-2,AEW541,0.2356
SK-MEL-24,AEW541,1.1943
SK-MEL-30,AEW541,0.4842
SK-MEL-31,AEW541,0.9608
SK-MEL-5,AEW541,1.3453
SK-MES-1,AEW541,1.921
SK-MM-2,AEW541,1.0993
SK-N-AS,AEW541,1.1907
SK-N-BE(2),AEW541,1.5323
SK-N-DZ,AEW541,1.9651
SK-N-FI,AEW541,2.0128
SK-N-SH,AEW541,2.7443
SK-OV-3,AEW541,0.5344
SNG-M,AEW541,0.497
SNU-1,AEW541,0.9688
SNU-16,AEW541,0.8653
SNU-182,AEW541,0.6863
SNU-387,AEW541,1.0149
SNU-398,AEW541,0.5915
SNU-423,AEW541,0.1276
SNU-449,AEW541,0.8843
SNU-475,AEW541,1.4655
SNU-C2A,AEW541,0.8231
SNU-C2B,AEW541,0.9415
Sq-1,AEW541,1.0544
SU.86.86,AEW541,0.7582
SU-DHL-10,AEW541,1.0192
SU-DHL-4,AEW541,1.7337
SU-DHL-6,AEW541,1.1025
SU-DHL-8,AEW541,1.6451
SUIT-2,AEW541,0.9113
SUP-M2,AEW541,0.1908
SUP-T1,AEW541,0.8588
SW 1088,AEW541,0.09182
SW 1271,AEW541,1.2973
SW 1353,AEW541,0.7213
SW1417,AEW541,1.4761
SW 1573,AEW541,1.3222
SW 1990,AEW541,1.0457
SW403,AEW541,1.9928
SW48,AEW541,2.1955
SW480,AEW541,1.4152
SW579,AEW541,0.4121
SW620,AEW541,1.4577
SW 780,AEW541,1.1134
SW 900,AEW541,0.3003
T24,AEW541,0.7722
T3M-10,AEW541,0.181
T-47D,AEW541,0.924
T84,AEW541,1.1858
T98G,AEW541,1.137
TC-71,AEW541,0.425
TCCSUP,AEW541,0.1999
TE-1,AEW541,0.8829
TE-11,AEW541,1.7103
TE-15,AEW541,1.4669
TE-5,AEW541,0.4191
TE 617.T,AEW541,1.4793
TE-9,AEW541,1.0772
TEN,AEW541,1.0587
Toledo,AEW541,0.6413
TOV-112D,AEW541,0.4272
TOV-21G,AEW541,0.4566
TT2609-C02,AEW541,1.7747
TYK-nu,AEW541,1.0867
U-118 MG,AEW541,0.5336
U-2 OS,AEW541,1.5148
U-87 MG,AEW541,0.3154
U-937,AEW541,0.8519
UACC-257,AEW541,0.5798
UACC-62,AEW541,0.868
UACC-812,AEW541,0.3992
UM-UC-3,AEW541,0.065
VMRC-LCD,AEW541,1.2253
VMRC-RCW,AEW541,2.4276
VMRC-RCZ,AEW541,1.31
WM-115,AEW541,0.1716
WM1799,AEW541,0.7741
WM-266-4,AEW541,0.408
WM-793,AEW541,1.2364
WM-88,AEW541,1.6441
WM-983B,AEW541,2.3048
YKG1,AEW541,0.5376
ZR-75-1,AEW541,1.2285
ZR-75-30,AEW541,0.1118
22Rv1,Nilotinib,0.1278
5637,Nilotinib,0.5269
639-V,Nilotinib,0.5869
697,Nilotinib,2.1147
769-P,Nilotinib,0.7575
786-O,Nilotinib,0.5356
8305C,Nilotinib,0.9183
8505C,Nilotinib,0.6024
A172,Nilotinib,0
A-204,Nilotinib,1.727
A2058,Nilotinib,0.02046
A-253,Nilotinib,0.2846
A2780,Nilotinib,0.4157
A-375,Nilotinib,0.521
A549,Nilotinib,0.6661
ALL-SIL,Nilotinib,7.0051
AMO-1,Nilotinib,1.5625
AN3 CA,Nilotinib,0.1972
AsPC-1,Nilotinib,0.2155
AU565,Nilotinib,0.873
AZ-521,Nilotinib,1.1455
B-CPAP,Nilotinib,0.7336
BDCM,Nilotinib,0
BFTC-909,Nilotinib,0.00241
BGC-823,Nilotinib,0.03027
BL-41,Nilotinib,0
BL-70,Nilotinib,0.1648
BT-20,Nilotinib,0.3956
BT-474,Nilotinib,0.5231
BT-549,Nilotinib,0.641
C2BBe1,Nilotinib,0.7346
C32,Nilotinib,0.1393
Caki-2,Nilotinib,0.03836
CAL-78,Nilotinib,0.5266
CAL-85-1,Nilotinib,0.07419
Calu-1,Nilotinib,0.1917
Calu-3,Nilotinib,0.4743
CAMA-1,Nilotinib,0.4371
Capan-2,Nilotinib,0.7497
CAS-1,Nilotinib,0.207
CHL-1,Nilotinib,0.3245
CI-1,Nilotinib,0.2173
CMK-86,Nilotinib,1.8126
COLO 201,Nilotinib,0.8895
COLO 205,Nilotinib,0.6001
COLO-320,Nilotinib,0.8088
COLO-677,Nilotinib,0.7709
COLO-678,Nilotinib,0.2982
COLO-679,Nilotinib,0.5391
COLO-699,Nilotinib,0.881
COR-L23,Nilotinib,0.1142
COV318,Nilotinib,0.5619
COV504,Nilotinib,0.1649
Daoy,Nilotinib,0.2486
DBTRG-05MG,Nilotinib,0.3488
DEL,Nilotinib,1.2823
Detroit 562,Nilotinib,0.5156
DK-MG,Nilotinib,0
DMS 114,Nilotinib,0.8476
DOHH-2,Nilotinib,1.7965
DOV13,Nilotinib,0.5616
DU 145,Nilotinib,0.07206
EB1,Nilotinib,0.3182
EB2,Nilotinib,0.1786
EBC-1,Nilotinib,0.3761
EFE-184,Nilotinib,0.2116
EFM-19,Nilotinib,0.3452
EFO-21,Nilotinib,0.08193
EFO-27,Nilotinib,0.09143
EM-2,Nilotinib,6.0634
EN,Nilotinib,0.1392
F-36P,Nilotinib,0.9395
FaDu,Nilotinib,0.7939
FU-OV-1,Nilotinib,0.4601
G-361,Nilotinib,0.5674
G-401,Nilotinib,0.6602
GB-1,Nilotinib,0.256
GCIY,Nilotinib,0.8356
GCT,Nilotinib,0.5817
GLC-82,Nilotinib,0.06504
GMS-10,Nilotinib,0
GRANTA-519,Nilotinib,1.8129
H4,Nilotinib,0.5618
HCC1187,Nilotinib,0.1172
HCC-15,Nilotinib,0.3714
HCC1569,Nilotinib,0.1617
HCC1806,Nilotinib,1.0867
HCC1954,Nilotinib,0.5581
HCC2935,Nilotinib,0.3039
HCC4006,Nilotinib,0.7678
HCC-56,Nilotinib,0.09552
HCC70,Nilotinib,0.09364
HCC-78,Nilotinib,0.01119
HCT 116,Nilotinib,0.2101
HCT-15,Nilotinib,0.6787
HDQ-P1,Nilotinib,3.0468
HEC-151,Nilotinib,0.6752
HEC-1-A,Nilotinib,0.7392
HEC-1-B,Nilotinib,1.4282
HEC-251,Nilotinib,0.2585
HEC-265,Nilotinib,0.5323
HEC-59,Nilotinib,0.1066
HEC-6,Nilotinib,1.4706
HEL 92.1.7,Nilotinib,0.3645
Hep 3B2.1-7,Nilotinib,0.6464
Hep G2,Nilotinib,0.239
Hey-A8,Nilotinib,0.403
HGC-27,Nilotinib,0.7505
HH,Nilotinib,0.8973
HLE,Nilotinib,0
HLF,Nilotinib,0.1366
HMC-1-8,Nilotinib,0.2208
HMCB,Nilotinib,0.5979
HOS,Nilotinib,0.4549
HPAC,Nilotinib,0.9597
Hs 229.T,Nilotinib,0
Hs 294T,Nilotinib,0.1473
Hs 578T,Nilotinib,0.2575
Hs 683,Nilotinib,0.2585
Hs 695T,Nilotinib,0.1666
Hs 739.T,Nilotinib,0.5616
Hs 746T,Nilotinib,0.8844
Hs 766T,Nilotinib,0.2082
Hs 840.T,Nilotinib,0.4101
Hs 852.T,Nilotinib,0.5659
Hs 895.T,Nilotinib,1.1133
Hs 936.T,Nilotinib,0.001392
Hs 939.T,Nilotinib,0.6022
Hs 944.T,Nilotinib,0.2055
HSC-2,Nilotinib,0.2326
HT,Nilotinib,0.05258
HT-1197,Nilotinib,0.06098
HT-1376,Nilotinib,0.2472
HT-144,Nilotinib,0.8419
HT-29,Nilotinib,0.4398
HuCCT1,Nilotinib,0.3396
huH-1,Nilotinib,0.2987
HUP-T3,Nilotinib,0.1507
HUP-T4,Nilotinib,1.2267
HuT 78,Nilotinib,1.4199
IA-LM,Nilotinib,0.5739
IGR-37,Nilotinib,0.8076
IGR-39,Nilotinib,0.1603
IGROV1,Nilotinib,0.4447
IM95,Nilotinib,2
IMR-32,Nilotinib,0.933
IPC-298,Nilotinib,0.2386
IST-MES1,Nilotinib,1.0773
IST-MES2,Nilotinib,0.7994
JHH-2,Nilotinib,0.4738
JHH-4,Nilotinib,0.5288
JHH-6,Nilotinib,0.02888
JHOS-2,Nilotinib,0.5389
JHOS-4,Nilotinib,1.2189
JM1,Nilotinib,0.6152
JMSU-1,Nilotinib,0.6397
JURKAT,Nilotinib,0.9375
JVM-3,Nilotinib,1.8695
K029AX,Nilotinib,0.6065
KALS-1,Nilotinib,0.2728
KARPAS-299,Nilotinib,0.04111
KARPAS-422,Nilotinib,0.1021
KARPAS-620,Nilotinib,0.3661
KASUMI-2,Nilotinib,1.0794
KCL-22,Nilotinib,5.6277
KE-39,Nilotinib,0.5221
KE-97,Nilotinib,0.2995
KG-1,Nilotinib,0.6361
KHM-1B,Nilotinib,1.8774
KLE,Nilotinib,0.5632
KMBC-2,Nilotinib,0.01426
KMM-1,Nilotinib,1.5839
KMRC-1,Nilotinib,0.1906
KMRC-2,Nilotinib,0.1628
KMS-11,Nilotinib,2.0814
KMS-12-BM,Nilotinib,1.1375
KMS-26,Nilotinib,0.8691
KMS-34,Nilotinib,1.4553
KNS-42,Nilotinib,0.3225
KNS-60,Nilotinib,0.2903
KNS-81,Nilotinib,0.5671
KO52,Nilotinib,0.764
KP-1N,Nilotinib,0.2514
KP-1NL,Nilotinib,0.1877
KP-2,Nilotinib,0.2871
KP-3,Nilotinib,0.4622
KP4,Nilotinib,0.3059
KP-N-SI9s,Nilotinib,1.1281
KU812,Nilotinib,5.016
KURAMOCHI,Nilotinib,1.27
KYSE-30,Nilotinib,0.4685
KYSE-410,Nilotinib,0.5324
KYSE-520,Nilotinib,0.6587
L3.3,Nilotinib,0.4161
L-363,Nilotinib,1.9171
L-428,Nilotinib,1.1117
LC-1/sq-SF,Nilotinib,0.1196
LCLC-103H,Nilotinib,0.1693
LN-18,Nilotinib,0.4477
LN-229,Nilotinib,0.7352
LOU-NH91,Nilotinib,0.3538
LP-1,Nilotinib,2.2922
LS123,Nilotinib,0.5402
LS513,Nilotinib,1.4159
LU99,Nilotinib,0.5356
LUDLU-1,Nilotinib,0.8515
M059J,Nilotinib,0.5565
Malme-3M,Nilotinib,1.1576
MB 157,Nilotinib,1.0798
MC116,Nilotinib,0
MCAS,Nilotinib,0.1668
MCF7,Nilotinib,0.1241
MDA-MB-157,Nilotinib,0.6589
MDA-MB-175-VII,Nilotinib,0.182
MDA-MB-415,Nilotinib,0.9927
MDA-MB-435S,Nilotinib,1.0356
MDA-MB-436,Nilotinib,0.2853
MDA-MB-453,Nilotinib,0.3012
MDA-MB-468,Nilotinib,0.6117
MEC-1,Nilotinib,1.7814
MEG-01,Nilotinib,4.4689
MEL-HO,Nilotinib,0.654
MES-SA,Nilotinib,0.3623
MeWo,Nilotinib,0
MFE-280,Nilotinib,0.3222
MG-63,Nilotinib,0.29
MHH-ES-1,Nilotinib,2.5759
MIA PaCa-2,Nilotinib,0.259
Mino,Nilotinib,0
MJ,Nilotinib,0.4704
MKN-45,Nilotinib,0.358
MKN7,Nilotinib,0.5522
MKN74,Nilotinib,0.4273
MOG-G-CCM,Nilotinib,0.08413
MOLP-8,Nilotinib,0.838
MOLT-16,Nilotinib,1.8004
MONO-MAC-1,Nilotinib,2.979
MPP 89,Nilotinib,0.6128
MSTO-211H,Nilotinib,0.5277
NCI-H1048,Nilotinib,0.4625
NCI-H1092,Nilotinib,0.1775
NCI-H1184,Nilotinib,0
NCI-H1339,Nilotinib,0.9951
NCI-H1341,Nilotinib,0.05606
NCI-H1355,Nilotinib,0.2995
NCI-H1373,Nilotinib,0
NCI-H1563,Nilotinib,0.286
NCI-H1568,Nilotinib,0.6011
NCI-H1573,Nilotinib,0.7619
NCI-H1581,Nilotinib,0.7787
NCI-H1648,Nilotinib,1.4162
NCI-H1650,Nilotinib,0.4834
NCI-H1651,Nilotinib,0.2314
NCI-H1666,Nilotinib,0.456
NCI-H1693,Nilotinib,0.8682
NCI-H1694,Nilotinib,0.308
NCI-H1792,Nilotinib,0.1523
NCI-H1793,Nilotinib,0.1586
NCI-H1869,Nilotinib,0.4445
NCI-H1915,Nilotinib,0.1953
NCI-H1944,Nilotinib,0
NCI-H1975,Nilotinib,0.07336
NCI-H2009,Nilotinib,0.237
NCI-H2023,Nilotinib,0.612
NCI-H2030,Nilotinib,0.3102
NCI-H2052,Nilotinib,0.4418
NCI-H2085,Nilotinib,0.6032
NCI-H2087,Nilotinib,0.8483
NCI-H211,Nilotinib,0.9206
NCI-H2122,Nilotinib,0.5732
NCI-H2170,Nilotinib,0.9569
NCI-H2172,Nilotinib,0.07936
NCI-H2228,Nilotinib,0.2487
NCI-H226,Nilotinib,0
NCI-H2286,Nilotinib,2.2442
NCI-H23,Nilotinib,0.6261
NCI-H2444,Nilotinib,0.1556
NCI-H2452,Nilotinib,0.2073
NCI-H28,Nilotinib,0.2426
NCI-H322,Nilotinib,0.1888
NCI-H3255,Nilotinib,0.7838
NCI-H358,Nilotinib,0.4732
NCI-H441,Nilotinib,0.1257
NCI-H520,Nilotinib,0.1169
NCI-H522,Nilotinib,0.4237
NCI-H647,Nilotinib,0.5991
NCI-H650,Nilotinib,0.1037
NCI-H661,Nilotinib,0.5492
NCI-H727,Nilotinib,0.5898
NCI-H747,Nilotinib,0.6162
NCI-H810,Nilotinib,0.8719
NCI-N87,Nilotinib,1.2436
NCO2,Nilotinib,5.944
NIH:OVCAR-3,Nilotinib,0.07783
NUGC-3,Nilotinib,0.5547
NUGC-4,Nilotinib,0.8153
OC 314,Nilotinib,0.03021
OC 315,Nilotinib,0.05129
OC 316,Nilotinib,0.1259
OCI-AML2,Nilotinib,0.8493
OCI-AML5,Nilotinib,1.1833
OCUM-1,Nilotinib,0.3957
OE21,Nilotinib,0.8543
OE33,Nilotinib,0.1666
ONCO-DG-1,Nilotinib,0.6137
ONS-76,Nilotinib,0.1742
OPM-2,Nilotinib,0.3997
OV-90,Nilotinib,0.6314
OVCAR-4,Nilotinib,0.2542
OVCAR-8,Nilotinib,0.6021
OVMANA,Nilotinib,0.2676
OVSAHO,Nilotinib,0.02441
OVTOKO,Nilotinib,0.1559
P12-ICHIKAWA,Nilotinib,0.8608
P31/FUJ,Nilotinib,0.4948
P3HR-1,Nilotinib,0.12
